# NR     X       Y     V    eV    I    eI    Ha   eHa   LgT eLgT   LgL eLgL  LgHa   EW   Mass Age LgMdot
  30 3976.70 2761.72 15.01 0.01 15.20 0.01 14.41 0.14  4.20 0.16  3.86 0.17  0.20  -12.5 4.9  0.5 -5.12
  31 3361.10 2728.85 15.52 0.01 15.18 0.01 14.01 0.01  3.88 0.03  3.13 0.06  0.53  -32.2 4.9  0.4 -4.50
  32  781.59 2450.80 16.21 0.01 16.29 0.01 15.04 0.00  4.05 0.12  3.05 0.14  0.11  -30.5 4.9  5.0 -5.32
  33 3487.89 3909.88 16.77 0.01 16.84 0.01 16.18 0.04  4.03 0.11  2.78 0.12 -0.53  -10.8 4.7  0.5 -6.03
  34 3014.09 3606.16 16.60 0.02 16.59 0.01 14.31 0.01  3.97 0.05  2.74 0.08  0.53 -118.8 4.8  0.4 -4.88
  35 3767.48 3624.19 17.29 0.01 17.16 0.01 15.56 0.02  3.93 0.03  2.42 0.07 -0.03  -52.8 4.2  0.5 -5.46
  36 4714.09 2383.66 16.46 0.01 16.54 0.01 15.36 0.01  4.05 0.12  2.93 0.13 -0.03  -27.4 4.9  0.5 -5.50
  37 3594.29 3428.24 16.49 0.01 16.67 0.01 15.30 0.02  4.19 0.16  3.25 0.17  0.02  -33.6 4.8  4.8 -5.58
  38 4263.40 3746.12 17.34 0.01 17.58 0.01 16.49 0.14  4.29 0.17  3.13 0.18 -0.53  -21.3 4.9  5.0 -6.38
  39 1921.88 3473.21 16.77 0.02 17.15 0.02 15.92 0.14  4.54 3.73  3.90 3.73 -0.28  -23.3 2.5  0.4 -5.97
  40 3701.46 2391.49 17.23 0.01 17.18 0.02 16.11 0.03  3.95 0.04  2.46 0.07 -0.33  -27.3 4.3  0.5 -5.79
  41 3615.48 2239.39 16.89 0.03 16.94 0.09 15.71 0.04  4.02 0.13  2.70 0.14 -0.15  -31.0 4.5  0.6 -5.64
  42 3998.27 2247.06 16.78 0.02 16.59 0.03 14.44 0.02  3.91 0.03  2.62 0.07  0.47 -102.6 4.8  0.4 -4.88
  43 3693.04 2785.59 17.09 0.01 17.07 0.02 15.62 0.03  3.97 0.05  2.54 0.08 -0.07  -45.6 4.4  0.5 -5.54
  44 3193.18 3869.27 16.71 0.04 17.24 0.03 15.43 0.23  4.54 3.73  3.92 3.73  0.01  -47.6 2.5  0.4 -5.67
  45 3425.87 2131.42 17.71 0.08 17.81 0.03 16.91 0.05  4.08 0.17  2.50 0.18 -0.74  -16.7 4.0  6.5 -6.40
  46 4502.40 2472.71 16.94 0.02 17.23 0.03 16.46 0.09  4.37 0.18  3.49 0.19 -0.65  -10.6 4.8  5.0 -6.49
  47 3552.26 3737.24 17.69 0.02 17.92 0.02 17.11 0.14  4.26 0.17  2.91 0.18 -0.88  -12.2 4.8  5.2 -6.78
  48 3539.93 3484.78 16.68 0.02 16.96 0.02 16.14 0.05  4.36 0.18  3.56 0.19 -0.50  -11.9 4.9  0.5 -6.28
  49 3320.23 1162.87 17.44 0.04 17.74 0.03 15.22 0.23  4.38 0.20  3.29 0.21  0.17 -123.7 4.9  0.5 -5.78
  50 4012.98 2313.31 16.78 0.02 16.96 0.03 15.51 0.03  4.19 0.17  3.12 0.18 -0.05  -37.4 4.9  5.0 -5.71
  51 3711.27 2771.47 17.22 0.02 17.27 0.02 16.45 0.05  4.02 0.10  2.57 0.11 -0.57  -15.7 4.3  0.6 -6.10
  52 4943.10 3651.73 17.40 0.04 17.75 0.03 15.54 0.21  4.47 0.19  3.50 0.20  0.02  -85.7 4.9  0.5 -6.01
  53 3560.36 1780.36 16.98 0.02 17.32 0.01 16.26 0.02  4.47 0.18  3.67 0.19 -0.46  -18.2 4.8  4.8 -6.40
  54 3189.71 3859.38 16.83 0.03 17.24 0.04 15.07 0.23  4.54 3.73  3.87 3.73  0.20  -78.9 2.5  0.4 -5.50
  55 3945.14 3304.01 17.26 0.02 17.62 0.03 15.49 0.20  4.50 0.25  3.61 0.25  0.03  -77.6 4.9  0.5 -6.00
  56 3560.64 2397.51 17.44 0.03 17.44 0.02 16.79 0.04  3.98 0.06  2.42 0.09 -0.75  -12.4 4.0  0.8 -6.26
  57 4413.36 2452.52 17.45 0.02 17.35 0.02 16.77 0.04  3.94 0.03  2.36 0.07 -0.78  -10.3 4.0  0.7 -6.23
  58 3395.45 2473.00 17.12 0.02 17.05 0.02 15.87 0.04  3.95 0.04  2.50 0.07 -0.21  -31.7 4.4  0.5 -5.65
  59 4280.29 3647.82 17.84 0.02 18.23 0.02 16.84 0.25  4.54 3.73  3.47 3.73 -0.61  -30.0 2.3  0.5 -6.48
  60 3193.23 3078.97 17.61 0.02 17.83 0.02 16.98 0.14  4.25 0.17  2.93 0.18 -0.81  -13.6 4.8  5.2 -6.68
  61 3441.20 3456.87 17.41 0.02 17.83 0.02 16.72 0.15  4.54 3.73  3.64 3.73 -0.64  -18.4 2.4  0.5 -6.44
  62 3685.31 2415.94 17.71 0.02 17.61 0.03 16.94 0.10  3.94 0.03  2.26 0.07 -0.81  -12.6 3.7  0.9 -6.27
  63 3308.08 2500.71 17.34 0.02 17.26 0.04 16.69 0.04  3.94 0.04  2.41 0.07 -0.76  -10.0 4.1  0.6 -6.21
  64 4099.33 3541.17 18.14 0.01 18.29 0.02 16.26 0.10  4.15 0.16  2.49 0.17 -0.27  -78.8 4.0  6.8 -6.09
  65 3589.09 2080.50 17.64 0.02 17.56 0.02 16.26 0.03  3.94 0.04  2.29 0.07 -0.35  -36.7 3.8  0.8 -5.83
  66 4413.52 3811.80 17.89 0.02 17.77 0.01 16.66 0.18  3.94 0.03  2.18 0.07 -0.55  -27.6 3.4  1.1 -6.01
  67 3576.26 3566.83 18.00 0.02 18.08 0.02 17.35 0.14  4.05 0.13  2.33 0.14 -0.98  -12.1 3.4  8.0 -6.60
  68 2966.40 1653.08 17.67 0.02 17.65 0.03 16.75 0.07  3.97 0.05  2.31 0.08 -0.63  -20.6 3.7  0.9 -6.13
  69 4559.71 2659.41 16.75 0.02 16.99 0.03 15.93 0.13  4.29 0.18  3.37 0.19 -0.31  -20.0 4.8  0.5 -6.04
  70 3708.06 2700.63 17.80 0.06 17.55 0.07 16.17 0.07  3.90 0.03  2.21 0.07 -0.29  -43.7 3.8  0.7 -5.72
  71 4439.87 1787.59 16.80 0.02 16.60 0.03 15.74 0.13  3.91 0.03  2.61 0.07 -0.25  -19.0 4.8  0.4 -5.60
  72 4279.44 1247.69 16.61 0.02 17.07 0.02 16.05 0.17  4.54 3.73  3.96 3.73 -0.41  -15.3 2.5  0.4 -6.07
  73 2692.89 4180.52 18.15 0.03 18.17 0.02 17.33 0.13  4.00 0.07  2.16 0.09 -0.90  -17.4 3.2  1.5 -6.47
  74 3089.31 3754.69 17.73 0.03 18.03 0.02 16.83 0.18  4.39 0.19  3.20 0.20 -0.64  -24.0 4.8  0.6 -6.65
  75 3593.05 3303.24 17.80 0.01 17.91 0.02 17.24 0.14  4.09 0.14  2.48 0.15 -0.97  -10.5 3.8  6.9 -6.64
  76 4829.37 2778.70 17.33 0.02 17.67 0.02 16.83 0.13  4.46 0.18  3.52 0.19 -0.78  -11.5 4.8  4.8 -6.78
  77 3501.76 2662.96 17.10 0.03 17.23 0.03 16.34 0.06  4.11 0.16  2.81 0.17 -0.51  -16.6 4.7  5.1 -6.15
  78 3325.51 2990.39 18.45 0.02 18.33 0.01 17.42 0.04  3.93 0.03  1.96 0.07 -0.91  -19.8 2.9  1.6 -6.41
  79 3146.49  867.96 17.40 0.02 17.86 0.02 16.79 0.16  4.54 3.73  3.65 3.73 -0.68  -17.1 2.4  0.5 -6.48
  80 3650.51 3097.02 17.59 0.02 17.59 0.01 16.82 0.14  3.98 0.06  2.36 0.08 -0.71  -16.1 3.8  0.9 -6.22
  81 4004.21 3504.73 18.29 0.02 18.39 0.02 16.93 0.16  4.06 0.13  2.23 0.14 -0.61  -39.9 3.4  8.5 -6.30
  82 3732.80 2637.39 18.12 0.03 18.42 0.04 17.67 0.12  4.38 0.19  3.02 0.20 -1.15  -10.0 4.9  0.6 -7.23
  83 2550.88 4098.25 17.97 0.03 17.97 0.03 16.68 0.19  3.98 0.06  2.21 0.09 -0.52  -36.8 3.4  1.1 -6.06
  84 2301.01 4005.61 18.12 0.02 18.30 0.02 17.16 0.18  4.20 0.17  2.61 0.18 -0.77  -24.0 4.4  6.5 -6.66
  85 2477.62 1442.29 17.82 0.02 17.22 0.02 16.50 0.17  3.81 0.03  2.23 0.07 -0.58  -15.9 4.4  0.4 -5.88
  86 3689.29 2534.47 18.22 0.04 18.36 0.05 17.66 0.08  4.14 0.18  2.42 0.19 -1.13  -10.8 3.9  7.1 -6.93
  87 3273.50 2934.22 18.05 0.04 18.33 0.05 17.53 0.14  4.36 0.20  3.00 0.21 -1.06  -11.6 4.8  0.6 -7.10
  88 3964.90 2772.43 17.08 0.02 16.90 0.02 16.05 0.16  3.92 0.03  2.50 0.07 -0.38  -18.1 4.6  0.4 -5.77
  89 3251.93 3530.77 18.01 0.02 18.19 0.02 16.78 0.15  4.19 0.16  2.63 0.17 -0.56  -35.3 4.4  6.0 -6.43
  90 3435.99 3582.69 17.65 0.03 17.96 0.02 15.93 0.17  4.40 0.19  3.26 0.20 -0.15  -71.7 4.9  0.5 -6.16
  91 3873.63 3590.77 18.46 0.05 18.61 0.03 17.82 0.15  4.14 0.18  2.33 0.19 -1.15  -13.2 3.6  7.8 -6.97
  92 4239.47 3801.22 18.40 0.02 18.54 0.01 17.74 0.17  4.13 0.16  2.33 0.17 -1.11  -13.7 3.6  8.0 -6.91
  93 4269.72 2442.71 17.83 0.02 18.03 0.03 17.18 0.13  4.22 0.17  2.77 0.18 -0.88  -14.3 4.6  5.4 -6.75
  94 4823.93 3779.48 18.61 0.03 18.85 0.03 17.35 0.24  4.29 0.18  2.63 0.19 -0.78  -39.2 4.4  6.4 -6.85
  95 3983.43 3650.69 18.54 0.02 18.82 0.02 17.72 0.22  4.34 0.17  2.76 0.18 -1.02  -20.8 4.6  6.1 -7.13
  96 3886.29 3602.66 18.63 0.03 18.71 0.02 17.67 0.21  4.04 0.12  2.05 0.13 -0.99  -22.2 3.0  9.6 -6.68
  97 3530.16 3120.04 18.28 0.06 18.41 0.05 17.42 0.15  4.10 0.19  2.32 0.20 -0.90  -20.2 3.6  7.7 -6.66
  98 4640.60 3005.20 17.88 0.02 18.07 0.02 16.22 0.21  4.20 0.17  2.71 0.18 -0.28  -62.1 4.5  5.7 -6.14
  99 3391.60 3991.92 17.88 0.02 17.71 0.02 16.39 0.05  3.92 0.03  2.18 0.07 -0.40  -37.4 3.5  1.0 -5.84
 100 3896.20 3462.84 18.32 0.02 18.46 0.02 17.69 0.10  4.13 0.16  2.37 0.17 -1.10  -12.8 3.7  7.7 -6.90
 101  268.77  841.74 24.89 0.06 23.79 0.02 22.66 0.20  3.68 0.02 -0.47 0.06 -2.90  -39.0 0.8 31.4 -8.55
 102  299.27  746.67 22.38 0.03 21.64 0.08 20.86 0.17  3.77 0.04  0.42 0.07 -2.29  -19.3 1.2 11.5 -7.86
 103  387.73 1929.36 23.77 0.03 23.14 0.02 22.43 0.13  3.80 0.03 -0.15 0.07 -2.95  -16.2 1.0 41.0 -8.76
 104  413.73 1711.24 25.11 0.04 23.96 0.03 22.55 0.18  3.67 0.02 -0.54 0.06 -2.82  -56.0 0.7 32.9 -8.47
 105  419.91 1513.12 24.41 0.03 23.34 0.03 22.70 0.19  3.69 0.02 -0.29 0.06 -3.04  -18.1 0.9 19.9 -8.67
 106  421.38 1510.09 24.47 0.03 23.40 0.02 22.84 0.17  3.69 0.02 -0.31 0.06 -3.12  -15.6 0.9 20.7 -8.75
 107  477.38  747.18 24.06 0.03 23.19 0.03 22.50 0.15  3.74 0.03 -0.22 0.07 -2.96  -17.5 0.9 40.6 -8.64
 108  487.53 2082.29 22.89 0.04 22.41 0.03 21.52 0.19  3.84 0.03  0.19 0.07 -2.54  -21.0 1.1 35.3 -8.32
 109  516.75 2393.43 23.99 0.08 23.56 0.03 21.10 0.16  3.85 0.03 -0.25 0.07 -2.18 -145.7 0.9 41.0 -8.13
 110  524.74 1587.03 24.89 0.08 23.95 0.03 21.83 0.20  3.72 0.03 -0.53 0.07 -2.48 -117.5 0.7 49.9 -8.21
 111  569.71 1976.50 23.85 0.04 23.06 0.03 22.35 0.19  3.76 0.03 -0.16 0.07 -2.91  -17.2 0.9 38.8 -8.61
 112  605.04 2121.95 22.67 0.03 21.93 0.02 20.97 0.18  3.77 0.03  0.31 0.07 -2.29  -25.7 1.1 14.4 -7.88
 113  624.26  966.12 24.40 0.04 23.41 0.02 22.43 0.19  3.71 0.02 -0.32 0.06 -2.85  -30.2 0.8 29.1 -8.50
 114  655.11 1985.89 24.37 0.04 23.56 0.03 22.23 0.21  3.75 0.03 -0.36 0.07 -2.72  -44.2 0.8 46.5 -8.47
 115  671.23 1352.35 25.55 0.05 24.34 0.04 22.53 0.18  3.66 0.02 -0.68 0.06 -2.77  -90.4 0.7 44.9 -8.43
 116  671.41  980.20 24.33 0.03 23.52 0.03 22.92 0.17  3.75 0.03 -0.34 0.07 -3.17  -14.1 0.8 46.4 -8.93
 117  728.69 2082.62 22.24 0.03 21.80 0.03 20.70 0.15  3.85 0.03  0.45 0.07 -2.16  -28.7 1.2 32.4 -7.89
 118  730.49 3364.59 22.16 0.04 21.49 0.03 20.47 0.14  3.79 0.03  0.50 0.07 -2.07  -27.8 1.2 12.7 -7.65
 119  745.33 2542.97 21.31 0.03 20.60 0.02 19.91 0.19  3.78 0.03  0.85 0.07 -1.94  -16.1 1.7  5.1 -7.45
 120  759.46 2074.00 22.48 0.06 21.92 0.02 20.25 0.19  3.82 0.03  0.36 0.07 -1.89  -62.4 1.2 31.8 -7.58
 121  765.12 3153.71 20.35 0.03 20.17 0.03 18.84 0.17  3.92 0.03  1.19 0.07 -1.38  -38.1 1.8  6.5 -7.02
 122  784.77 3201.05 23.15 0.04 22.67 0.03 20.67 0.20  3.84 0.03  0.09 0.07 -2.03  -89.2 1.1 36.7 -7.85
 123  793.35 1893.21 22.58 0.02 21.85 0.02 21.19 0.17  3.77 0.03  0.34 0.07 -2.47  -15.2 1.2 13.4 -8.06
 124  802.73 1397.52 23.36 0.02 22.82 0.02 21.93 0.15  3.83 0.03  0.01 0.07 -2.70  -21.2 1.0 38.5 -8.50
 125  818.78 1863.51 23.59 0.05 22.75 0.03 21.04 0.18  3.74 0.03 -0.04 0.07 -2.20  -71.3 0.9 32.7 -7.84
 126  829.47  961.63 22.78 0.03 21.83 0.02 21.27 0.17  3.72 0.02  0.32 0.06 -2.51  -14.5 1.4  4.5 -8.07
 127  837.78 3405.04 19.27 0.03 19.53 0.03 18.26 0.14  4.33 0.18  2.45 0.19 -1.19  -27.8 3.9  8.0 -7.36
 128  838.55  590.76 24.83 0.04 23.51 0.03 22.68 0.21  3.65 0.02 -0.35 0.06 -2.96  -27.2 0.9  8.6 -8.54
 129  840.04 1264.77 24.20 0.03 23.12 0.03 22.33 0.19  3.69 0.02 -0.20 0.06 -2.85  -23.2 1.0 13.9 -8.46
 130  855.35 1507.17 24.46 0.04 23.45 0.03 22.62 0.21  3.70 0.02 -0.34 0.06 -2.95  -24.3 0.8 28.0 -8.60
 131  863.45 2405.82 24.51 0.06 23.42 0.03 21.75 0.19  3.69 0.02 -0.32 0.06 -2.48  -74.9 0.9 20.1 -8.10
 132  880.83 3727.30 19.60 0.03 19.58 0.02 18.45 0.13  3.97 0.05  1.53 0.08 -1.26  -29.5 2.2  4.3 -6.92
 133  883.90 2267.11 23.05 0.03 22.54 0.03 21.99 0.12  3.83 0.03  0.13 0.07 -2.87  -10.4 1.1 35.3 -8.64
 134  886.35 3375.29 22.49 0.06 21.93 0.03 19.61 0.19  3.82 0.03  0.36 0.07 -1.59 -126.7 1.2 31.6 -7.28
 135  898.60 2727.98 22.07 0.03 21.62 0.03 20.86 0.15  3.85 0.03  0.52 0.07 -2.32  -16.6 1.3 30.8 -8.02
 136  900.87 1045.40 23.45 0.03 22.82 0.02 21.83 0.20  3.80 0.03 -0.02 0.07 -2.63  -25.9 1.0 39.0 -8.38
 137  917.07 1177.97 22.94 0.04 21.72 0.02 20.44 0.17  3.66 0.02  0.36 0.06 -1.99  -48.8 1.0  1.1 -7.30
 138  927.54 1336.39 21.58 0.01 21.13 0.02 20.42 0.09  3.85 0.03  0.71 0.07 -2.17  -14.7 1.4 23.8 -7.80
 139  935.85 1525.50 23.82 0.03 22.89 0.02 21.70 0.21  3.72 0.03 -0.11 0.07 -2.52  -39.7 0.9 19.4 -8.14
 140  940.08 2829.44 20.65 0.03 20.13 0.02 19.18 0.18  3.83 0.03  1.09 0.07 -1.58  -23.4 1.7  5.3 -7.10
 141  945.42 1057.13 21.22 0.02 20.46 0.02 19.72 0.15  3.76 0.03  0.89 0.07 -1.85  -17.9 1.8  4.0 -7.34
 142  953.59 1176.51 22.21 0.01 21.65 0.01 20.99 0.11  3.82 0.03  0.47 0.07 -2.40  -14.0 1.2 28.6 -8.06
 143  972.27 2418.51 23.08 0.02 22.04 0.02 21.55 0.16  3.70 0.02  0.23 0.06 -2.64  -13.1 1.3  3.2 -8.18
 144  975.89 4074.35 22.87 0.03 22.21 0.02 21.11 0.19  3.79 0.03  0.22 0.07 -2.32  -30.8 1.1 31.3 -7.98
 145  976.19 1354.36 25.53 0.07 24.34 0.05 22.08 0.19  3.67 0.02 -0.69 0.06 -2.57 -144.7 0.7 45.1 -8.24
 146  983.29 2347.48 23.07 0.03 22.03 0.02 21.31 0.21  3.70 0.02  0.23 0.06 -2.46  -20.4 1.3  3.2 -8.00
 147  995.38 3892.18 22.43 0.04 21.87 0.02 20.51 0.21  3.82 0.03  0.38 0.07 -2.03  -42.4 1.2 31.7 -7.71
 148 1014.29 1905.62 22.53 0.05 21.92 0.03 20.01 0.20  3.81 0.03  0.35 0.07 -1.77  -84.0 1.2 30.8 -7.43
 149 1021.44 1526.45 23.66 0.03 22.74 0.02 21.59 0.20  3.72 0.03 -0.05 0.07 -2.48  -36.9 1.0 16.9 -8.10
 150 1021.54  748.43 23.96 0.03 22.75 0.02 22.28 0.16  3.67 0.02 -0.05 0.06 -2.93  -13.7 1.1  4.6 -8.46
 151 1028.12 1079.34 22.89 0.02 22.40 0.02 21.27 0.14  3.84 0.03  0.19 0.07 -2.38  -30.4 1.1 34.4 -8.15
 152 1031.60 1930.79 23.00 0.05 22.19 0.04 20.31 0.20  3.75 0.03  0.19 0.07 -1.89  -85.2 1.1 15.3 -7.49
 153 1039.41 3034.82 24.09 0.06 23.32 0.03 21.35 0.19  3.76 0.03 -0.26 0.07 -2.30  -93.7 0.9 41.9 -8.04
 154 1043.46 1523.18 22.89 0.03 21.80 0.03 21.06 0.18  3.69 0.02  0.33 0.06 -2.35  -21.7 1.3  2.2 -7.83
 155 1045.73 3145.16 18.93 0.05 19.30 0.04 16.17 0.21  4.51 0.30  2.96 0.31 -0.19 -221.9 4.7  6.0 -6.55
 156 1046.58  940.04 24.32 0.03 23.29 0.02 22.28 0.16  3.70 0.02 -0.27 0.06 -2.78  -31.9 0.9 20.2 -8.41
 157 1056.92  616.24 22.68 0.03 21.77 0.03 20.61 0.19  3.72 0.03  0.34 0.07 -2.09  -37.3 1.4  4.8 -7.66
 158 1057.15 3718.95 18.86 0.02 18.85 0.02 17.64 0.16  3.97 0.05  1.83 0.08 -0.91  -33.2 2.6  2.5 -6.51
 159 1057.71 2459.94 20.89 0.04 20.35 0.02 19.16 0.17  3.82 0.03  1.00 0.07 -1.52  -33.5 1.7  6.1 -7.04
 160 1059.20 2591.17 18.94 0.02 18.12 0.02 17.49 0.15  3.75 0.03  1.81 0.07 -0.99  -15.1 3.8  0.4 -6.32
 161 1062.64 2720.45 22.86 0.05 22.22 0.02 20.07 0.19  3.80 0.03  0.22 0.07 -1.78 -109.5 1.1 31.3 -7.45
 162 1070.71 2435.71 22.09 0.03 21.42 0.02 20.46 0.16  3.79 0.03  0.53 0.07 -2.08  -25.4 1.2 12.9 -7.65
 163 1089.68 2585.40 22.81 0.03 21.87 0.02 21.24 0.17  3.72 0.02  0.30 0.06 -2.47  -16.4 1.4  4.8 -8.04
 164 1089.78 2347.63 23.99 0.07 23.12 0.03 21.21 0.19  3.74 0.03 -0.19 0.07 -2.25  -90.1 0.9 39.8 -7.93
 165 1116.66 2859.39 19.92 0.03 19.51 0.03 18.24 0.19  3.86 0.03  1.37 0.07 -1.14  -36.5 2.1  3.6 -6.64
 166 1117.67 1291.89 23.72 0.02 23.02 0.02 21.69 0.15  3.78 0.03 -0.12 0.07 -2.50  -43.1 0.9 40.1 -8.24
 167 1126.47 1717.01 21.95 0.03 21.43 0.02 19.35 0.21  3.83 0.03  0.57 0.07 -1.50  -97.7 1.3 25.4 -7.14
 168 1134.38  955.86 23.58 0.02 22.83 0.02 22.05 0.19  3.77 0.03 -0.06 0.07 -2.76  -19.4 1.0 38.5 -8.46
 169 1151.48 3933.94 19.78 0.03 19.81 0.03 18.88 0.20  4.00 0.08  1.51 0.10 -1.49  -20.1 2.2 15.0 -7.22
 170 1153.62 2065.86 22.42 0.03 21.73 0.02 20.78 0.18  3.78 0.03  0.40 0.07 -2.22  -24.8 1.2 14.2 -7.81
 171 1153.70  787.45 22.35 0.01 21.68 0.02 21.11 0.13  3.79 0.03  0.43 0.07 -2.49  -12.0 1.2 13.5 -8.08
 172 1158.90 1789.28 23.60 0.04 22.58 0.03 20.87 0.15  3.70 0.02  0.01 0.06 -2.12  -77.1 1.1  8.4 -7.72
 173 1169.01 3428.20 19.58 0.02 18.39 0.03 17.91 0.15  3.67 0.02  1.69 0.06 -1.18  -13.8 2.0  0.0 -6.12
 174 1183.42 1865.14 22.45 0.05 21.76 0.03 19.86 0.21  3.79 0.03  0.39 0.07 -1.71  -84.3 1.2 25.4 -7.31
 175 1190.45 4131.99 20.80 0.04 19.29 0.02 18.44 0.20  3.62 0.01  1.35 0.06 -1.25  -29.9 1.1  0.0 -6.02
 176 1205.57 1663.00 22.21 0.02 21.66 0.02 20.59 0.20  3.82 0.03  0.47 0.07 -2.12  -28.1 1.2 29.8 -7.78
 177 1214.22 1683.59 23.67 0.03 22.78 0.03 21.72 0.18  3.73 0.03 -0.06 0.07 -2.55  -32.0 0.9 21.3 -8.17
 178 1234.79 1550.74 23.17 0.02 22.35 0.02 21.47 0.17  3.75 0.03  0.12 0.07 -2.50  -23.6 1.0 17.8 -8.11
 179 1237.40 1018.55 23.69 0.03 22.90 0.02 22.26 0.18  3.75 0.03 -0.09 0.07 -2.90  -14.8 0.9 38.9 -8.58
 180 1237.71 1219.71 24.34 0.07 23.51 0.04 21.70 0.20  3.74 0.03 -0.34 0.07 -2.45  -79.9 0.8 44.9 -8.18
 181 1240.38  578.29 21.48 0.03 20.86 0.03 20.17 0.18  3.81 0.03  0.77 0.07 -2.06  -15.3 1.4  7.9 -7.60
 182 1241.57 1970.60 24.05 0.06 23.23 0.03 21.55 0.16  3.75 0.03 -0.23 0.07 -2.40  -68.4 0.9 41.0 -8.10
 183 1257.13 2762.55 23.44 0.03 22.48 0.03 21.12 0.20  3.71 0.03  0.06 0.07 -2.26  -49.7 1.1 10.1 -7.86
